index,weight_0,weight_1
0,0.0,0.0
1,90.0,-50.0
2,140.0,-90.0
3,190.0,-110.0
4,220.0,-120.0
5,230.0,-140.0
6,240.0,-230.0
7,330.0,-280.0
8,380.0,-320.0
9,430.0,-340.0
10,460.0,-350.0
11,470.0,-370.0
12,520.0,-410.0
13,540.0,-510.0
14,630.0,-560.0
15,640.0,-770.0
16,730.0,-820.0
17,780.0,-860.0
18,830.0,-880.0
19,860.0,-890.0
20,870.0,-910.0
21,880.0,-1000.0
22,970.0,-1050.0
23,1020.0,-1090.0
24,1070.0,-1110.0
25,1100.0,-1120.0
26,1110.0,-1140.0
27,1160.0,-1180.0
28,1180.0,-1280.0
29,1270.0,-1330.0
30,1320.0,-1370.0
31,1370.0,-1390.0
32,1400.0,-1410.0
33,1410.0,-1420.0
34,1420.0,-1510.0
35,1510.0,-1560.0
36,1560.0,-1600.0
37,1610.0,-1620.0
38,1640.0,-1630.0
39,1650.0,-1650.0
40,1700.0,-1690.0
41,1750.0,-1710.0
42,1770.0,-1780.0
43,1800.0,-1790.0
44,1810.0,-1870.0
45,1900.0,-1920.0
46,1950.0,-1960.0
47,2000.0,-1980.0
48,2010.0,-2010.0
49,2050.0,-2100.0
50,2140.0,-2150.0
51,2190.0,-2190.0
52,2240.0,-2210.0
53,2270.0,-2220.0
54,2280.0,-2240.0
55,2310.0,-2290.0
56,2340.0,-2300.0
57,2350.0,-2380.0
58,2440.0,-2430.0
59,2490.0,-2470.0
60,2540.0,-2490.0
61,2550.0,-2520.0
62,2590.0,-2610.0
63,2680.0,-2660.0
64,2730.0,-2700.0
65,2780.0,-2720.0
66,2810.0,-2730.0
67,2820.0,-2750.0
68,2870.0,-2790.0
69,2920.0,-2810.0
70,2940.0,-2880.0
71,2970.0,-2890.0
72,3030.0,-2930.0
73,3060.0,-2940.0
74,3080.0,-2970.0
75,3110.0,-3020.0
76,3180.0,-3110.0
77,3270.0,-3170.0
78,3320.0,-3200.0
79,3360.0,-3220.0
80,3400.0,-3230.0
81,3410.0,-3260.0
82,3460.0,-3290.0
83,3480.0,-3390.0
84,3510.0,-3400.0
85,3570.0,-3440.0
86,3600.0,-3450.0
87,3620.0,-3480.0
88,3650.0,-3490.0
89,3670.0,-3500.0
90,3700.0,-3520.0
91,3710.0,-3530.0
92,3720.0,-3620.0
93,3810.0,-3670.0
94,3860.0,-3710.0
95,3910.0,-3730.0
96,3940.0,-3740.0
97,3950.0,-3760.0
98,4000.0,-3800.0
99,4030.0,-3810.0
100,4050.0,-3820.0
101,4080.0,-3830.0
102,4090.0,-3850.0
103,4120.0,-3860.0
104,4140.0,-3890.0
105,4170.0,-3900.0
106,4190.0,-3910.0
107,4220.0,-3920.0
108,4230.0,-3940.0
109,4240.0,-4030.0
110,4330.0,-4080.0
111,4380.0,-4120.0
112,4430.0,-4140.0
113,4460.0,-4150.0
114,4470.0,-4170.0
115,4520.0,-4190.0
116,4550.0,-4200.0
117,4570.0,-4230.0
118,4600.0,-4240.0
119,4650.0,-4260.0
120,4660.0,-4280.0
121,4690.0,-4290.0
